date,j,fl,entry_time,side,close,stop,risk,ref,ext,atr10,manip,dir930,match,tp,entry,exit_time,exit,reason,pnl,R
2020-07-15,31,389,2020-07-15 10:01:00-04:00,S,10699.5,10722.75,23.25,10707.5,10722.25,27.31860221886966,up,down,False,10583.25,10699.25,2020-07-15 10:07:00-04:00,10723.0,SL,-49.5,-1.064516129032258
2020-08-26,31,389,2020-08-26 10:01:00-04:00,S,11778.25,11796.0,17.75,11786.25,11795.5,12.949834146425328,up,up,True,11689.5,11778.0,2020-08-26 10:24:00-04:00,11796.25,SL,-38.5,-1.0845070422535212
2020-09-30,32,389,2020-09-30 10:02:00-04:00,S,11416.5,11435.0,18.5,11418.25,11434.5,21.84188720900107,up,up,True,11324.0,11416.25,2020-09-30 10:10:00-04:00,11435.25,SL,-40.0,-1.0810810810810811
2020-11-10,33,389,2020-11-10 10:03:00-05:00,L,11659.0,11620.75,38.25,11651.0,11621.25,33.098560138059646,down,down,True,11850.25,11659.25,2020-11-10 10:16:00-05:00,11620.5,SL,-79.5,-1.0392156862745099
2020-11-12,31,389,2020-11-12 10:01:00-05:00,L,11933.25,11906.75,26.5,11926.5,11907.25,24.87792599561993,down,up,False,12065.75,11933.5,2020-11-12 11:15:00-05:00,11906.5,SL,-56.0,-1.0566037735849056
2020-11-27,32,215,2020-11-27 10:02:00-05:00,S,12246.75,12259.75,13.0,12249.0,12259.25,11.607685736668735,up,up,True,12181.75,12246.5,2020-11-27 10:12:00-05:00,12260.0,SL,-29.0,-1.1153846153846154
2020-12-14,31,389,2020-12-14 10:01:00-05:00,S,12517.5,12530.5,13.0,12519.75,12530.0,13.983854624793796,up,up,True,12452.5,12517.25,2020-12-14 10:14:00-05:00,12530.75,SL,-29.0,-1.1153846153846154
2021-01-18,33,200,2021-01-18 10:03:00-05:00,S,12810.25,12815.5,5.25,12810.75,12815.0,6.879567989100074,up,up,True,12784.0,12810.0,2021-01-18 12:50:00-05:00,12812.0,time,-6.0,-0.5714285714285714
2021-03-05,31,389,2021-03-05 10:01:00-05:00,L,12430.25,12385.25,45.0,12423.5,12385.75,49.03537728221668,down,down,True,12655.25,12430.5,2021-03-05 10:12:00-05:00,12385.0,SL,-93.0,-1.0333333333333334
2021-03-22,31,389,2021-03-22 10:01:00-04:00,S,13002.5,13027.25,24.75,13008.0,13026.75,18.155077977755887,up,up,True,12878.75,13002.25,2021-03-22 10:28:00-04:00,13027.5,SL,-52.5,-1.0606060606060606
2021-03-29,31,389,2021-03-29 10:01:00-04:00,L,12858.0,12835.25,22.75,12854.75,12835.75,24.71205946140513,down,down,True,12971.75,12858.25,2021-03-29 10:02:00-04:00,12835.0,SL,-48.5,-1.065934065934066
2021-05-26,31,389,2021-05-26 10:01:00-04:00,S,13663.75,13680.25,16.5,13670.5,13679.75,13.822530868905178,up,down,False,13581.25,13663.5,2021-05-26 10:18:00-04:00,13680.5,SL,-36.0,-1.0909090909090908
2021-06-10,39,389,2021-06-10 10:09:00-04:00,S,13942.5,13960.75,18.25,13944.0,13960.25,22.88859858184517,up,up,True,13851.25,13942.25,2021-06-10 10:50:00-04:00,13851.5,TP,179.5,4.917808219178082
2021-06-16,31,389,2021-06-16 10:01:00-04:00,S,14079.0,14087.0,8.0,14079.75,14086.5,10.036808926620408,up,up,True,14039.0,14078.75,2021-06-16 10:06:00-04:00,14087.25,SL,-19.0,-1.1875
2021-06-23,31,389,2021-06-23 10:01:00-04:00,S,14300.25,14317.25,17.0,14305.5,14316.75,13.984216034625394,up,up,True,14215.25,14300.0,2021-06-23 15:59:00-04:00,14263.5,time,71.0,2.088235294117647
2021-08-10,33,389,2021-08-10 10:03:00-04:00,S,15143.5,15157.75,14.25,15147.0,15157.25,10.067632271477331,up,up,True,15072.25,15143.25,2021-08-10 10:31:00-04:00,15072.5,TP,139.5,4.894736842105263
2021-09-27,36,389,2021-09-27 10:06:00-04:00,L,15135.25,15100.25,35.0,15123.25,15100.75,26.31676048578643,down,down,True,15310.25,15135.5,2021-09-27 15:59:00-04:00,15194.0,time,115.0,1.6428571428571428
2021-09-29,31,389,2021-09-29 10:01:00-04:00,S,14877.25,14907.25,30.0,14882.5,14906.75,26.548572524952842,up,up,True,14727.25,14877.0,2021-09-29 12:25:00-04:00,14727.5,TP,297.0,4.95
2021-12-17,33,389,2021-12-17 10:03:00-05:00,L,15792.25,15737.25,55.0,15782.75,15737.75,45.51196387576671,down,up,False,16067.25,15792.5,2021-12-17 10:06:00-05:00,15737.0,SL,-113.0,-1.0272727272727273
2021-12-21,33,389,2021-12-21 10:03:00-05:00,S,15660.5,15692.0,31.5,15665.0,15691.5,23.816139383881488,up,down,False,15503.0,15660.25,2021-12-21 10:06:00-05:00,15692.25,SL,-66.0,-1.0476190476190477
2022-01-18,34,389,2022-01-18 10:04:00-05:00,L,15338.5,15300.0,38.5,15332.25,15300.5,36.3494972307627,down,down,True,15531.0,15338.75,2022-01-18 11:01:00-05:00,15299.75,SL,-80.0,-1.0389610389610389
2022-03-16,34,389,2022-03-16 10:04:00-04:00,S,13714.75,13755.5,40.75,13721.0,13755.0,26.507264907638053,up,up,True,13511.0,13714.5,2022-03-16 10:13:00-04:00,13755.75,SL,-84.5,-1.0368098159509203
2022-05-12,33,389,2022-05-12 10:03:00-04:00,L,11799.25,11741.75,57.5,11794.75,11742.25,58.68275148615198,down,up,False,12086.75,11799.5,2022-05-12 11:04:00-04:00,12086.5,TP,572.0,4.973913043478261
2022-07-08,31,389,2022-07-08 10:01:00-04:00,L,12007.25,11983.75,23.5,12006.5,11984.25,32.54879567322339,down,down,True,12124.75,12007.5,2022-07-08 10:28:00-04:00,12124.5,TP,232.0,4.9361702127659575
2022-08-17,34,389,2022-08-17 10:04:00-04:00,L,13536.0,13509.75,26.25,13534.25,13510.25,23.82361312243444,down,up,False,13667.25,13536.25,2022-08-17 10:11:00-04:00,13509.5,SL,-55.5,-1.0571428571428572
2022-08-19,31,389,2022-08-19 10:01:00-04:00,L,13313.75,13294.5,19.25,13308.75,13295.0,20.02822690760219,down,down,True,13410.0,13314.0,2022-08-19 10:09:00-04:00,13294.25,SL,-41.5,-1.077922077922078
2022-12-07,32,389,2022-12-07 10:02:00-05:00,L,11479.75,11439.75,40.0,11471.75,11440.25,27.666424291330568,down,down,True,11679.75,11480.0,2022-12-07 15:59:00-05:00,11507.5,time,53.0,0.6625
2022-12-08,32,389,2022-12-08 10:02:00-05:00,S,11598.25,11620.5,22.25,11601.0,11620.0,24.11535756678524,up,up,True,11487.0,11598.0,2022-12-08 10:05:00-05:00,11620.75,SL,-47.5,-1.0674157303370786
2023-02-23,32,389,2023-02-23 10:02:00-05:00,S,12222.0,12247.75,25.75,12232.25,12247.25,21.146921549385116,up,down,False,12093.25,12221.75,2023-02-23 11:08:00-05:00,12093.5,TP,254.5,4.941747572815534
2023-04-17,33,389,2023-04-17 10:03:00-04:00,S,13158.5,13188.0,29.5,13162.0,13187.5,19.721578306916875,up,down,False,13011.0,13158.25,2023-04-17 10:21:00-04:00,13188.25,SL,-62.0,-1.0508474576271187
2023-04-26,36,389,2023-04-26 10:06:00-04:00,L,12965.75,12933.5,32.25,12960.75,12934.0,22.47830040332301,down,up,False,13127.0,12966.0,2023-04-26 10:15:00-04:00,12933.25,SL,-67.5,-1.0465116279069768
2023-08-10,37,389,2023-08-10 10:07:00-04:00,S,15419.0,15442.25,23.25,15422.5,15441.75,31.408239570144893,up,up,True,15302.75,15418.75,2023-08-10 11:01:00-04:00,15303.0,TP,229.5,4.935483870967742
2023-10-23,34,389,2023-10-23 10:04:00-04:00,L,14637.0,14610.0,27.0,14636.25,14610.5,27.028009935907008,down,up,False,14772.0,14637.25,2023-10-23 12:07:00-04:00,14771.75,TP,267.0,4.944444444444445
2023-11-02,31,389,2023-11-02 10:01:00-04:00,S,14914.5,14932.75,18.25,14915.5,14932.25,17.874650153670967,up,down,False,14823.25,14914.25,2023-11-02 10:29:00-04:00,14933.0,SL,-39.5,-1.082191780821918
2023-11-06,32,389,2023-11-06 10:02:00-05:00,S,15204.0,15229.0,25.0,15216.25,15228.5,16.77944942774629,up,up,True,15079.0,15203.75,2023-11-06 10:39:00-05:00,15229.25,SL,-53.0,-1.06
2023-11-07,36,389,2023-11-07 10:06:00-05:00,S,15295.0,15320.0,25.0,15297.5,15319.5,18.169588805233815,up,up,True,15170.0,15294.75,2023-11-07 10:25:00-05:00,15320.25,SL,-53.0,-1.06
2023-11-29,32,389,2023-11-29 10:02:00-05:00,S,16186.5,16204.25,17.75,16194.75,16203.75,13.756169724768117,up,up,True,16097.75,16186.25,2023-11-29 10:20:00-05:00,16098.0,TP,174.5,4.915492957746479
2024-01-18,31,389,2024-01-18 10:01:00-05:00,S,17017.0,17042.25,25.25,17027.75,17041.75,20.690830002656973,up,up,True,16890.75,17016.75,2024-01-18 10:30:00-05:00,17042.5,SL,-53.5,-1.0594059405940595
2024-01-23,31,389,2024-01-23 10:01:00-05:00,S,17471.25,17485.0,13.75,17473.75,17484.5,19.180194394374393,up,down,False,17402.5,17471.0,2024-01-23 12:57:00-05:00,17485.25,SL,-30.5,-1.1090909090909091
2024-02-02,34,389,2024-02-02 10:04:00-05:00,S,17585.75,17615.5,29.75,17589.75,17615.0,28.745673408100274,up,up,True,17437.0,17585.5,2024-02-02 10:24:00-05:00,17615.75,SL,-62.5,-1.050420168067227
2024-02-09,31,389,2024-02-09 10:01:00-05:00,S,17932.25,17954.5,22.25,17940.25,17954.0,16.830251258274927,up,up,True,17821.0,17932.0,2024-02-09 10:17:00-05:00,17954.75,SL,-47.5,-1.0674157303370786
2024-02-19,31,200,2024-02-19 10:01:00-05:00,L,17793.25,17786.0,7.25,17791.5,17786.5,7.547916894535278,down,up,False,17829.5,17793.5,2024-02-19 10:17:00-05:00,17785.75,SL,-17.5,-1.206896551724138
2024-02-28,33,389,2024-02-28 10:03:00-05:00,L,17901.5,17879.25,22.25,17896.25,17879.75,18.681951714685123,down,down,True,18012.75,17901.75,2024-02-28 15:59:00-05:00,17917.25,time,29.0,0.651685393258427
2024-05-27,33,200,2024-05-27 10:03:00-04:00,S,18883.0,18888.5,5.5,18883.5,18888.0,8.143370796603653,up,up,True,18855.5,18882.75,2024-05-27 10:04:00-04:00,18888.75,SL,-14.0,-1.2727272727272727
2024-07-12,33,389,2024-07-12 10:03:00-04:00,S,20541.25,20573.0,31.75,20542.5,20572.5,28.568276900456816,up,up,True,20382.5,20541.0,2024-07-12 10:10:00-04:00,20573.25,SL,-66.5,-1.047244094488189
2024-07-23,31,389,2024-07-23 10:01:00-04:00,S,19994.75,20024.5,29.75,20006.5,20024.0,25.381013569261974,up,up,True,19846.0,19994.5,2024-07-23 10:07:00-04:00,20024.75,SL,-62.5,-1.050420168067227
2024-08-30,35,389,2024-08-30 10:05:00-04:00,S,19590.0,19628.5,38.5,19591.5,19628.0,28.822671791989507,up,up,True,19397.5,19589.75,2024-08-30 12:32:00-04:00,19397.75,TP,382.0,4.961038961038961
2024-12-30,31,389,2024-12-30 10:01:00-05:00,L,21303.25,21252.25,51.0,21288.5,21252.75,39.44868913017953,down,down,True,21558.25,21303.5,2024-12-30 12:48:00-05:00,21558.0,TP,507.0,4.970588235294118
2025-03-04,31,389,2025-03-04 10:01:00-05:00,L,20241.5,20182.75,58.75,20230.75,20183.25,63.77487324385078,down,down,True,20535.25,20241.75,2025-03-04 10:03:00-05:00,20182.5,SL,-120.5,-1.025531914893617
2025-06-26,36,389,2025-06-26 10:06:00-04:00,S,22543.75,22577.0,33.25,22544.0,22576.5,25.10265570878286,up,down,False,22377.5,22543.5,2025-06-26 10:30:00-04:00,22577.25,SL,-69.5,-1.0451127819548873
2025-07-22,35,389,2025-07-22 10:05:00-04:00,L,23142.75,23104.5,38.25,23142.25,23105.0,29.475748927378415,down,down,True,23334.0,23143.0,2025-07-22 15:59:00-04:00,23220.75,time,153.5,2.0065359477124183
2025-07-25,34,389,2025-07-25 10:04:00-04:00,S,23387.75,23410.75,23.0,23389.5,23410.25,17.483664999045597,up,up,True,23272.75,23387.5,2025-07-25 10:11:00-04:00,23411.0,SL,-49.0,-1.065217391304348
2025-10-02,31,389,2025-10-02 10:01:00-04:00,L,25067.0,25039.0,28.0,25063.5,25039.5,23.088001477611183,down,down,True,25207.0,25067.25,2025-10-02 10:46:00-04:00,25038.75,SL,-59.0,-1.0535714285714286
2025-10-09,34,389,2025-10-09 10:04:00-04:00,L,25280.0,25260.75,19.25,25279.5,25261.25,22.966257506600606,down,down,True,25376.25,25280.25,2025-10-09 10:15:00-04:00,25260.5,SL,-41.5,-1.077922077922078
2025-10-20,32,389,2025-10-20 10:02:00-04:00,S,25218.5,25235.75,17.25,25222.25,25235.25,25.254914290248692,up,up,True,25132.25,25218.25,2025-10-20 10:03:00-04:00,25236.0,SL,-37.5,-1.0869565217391304
2026-04-24,31,389,2026-04-24 10:01:00-04:00,L,27202.0,27161.75,40.25,27194.0,27162.25,42.10450462945805,down,down,True,27403.25,27202.25,2026-04-24 10:03:00-04:00,27161.5,SL,-83.5,-1.0372670807453417
